Date,Product_ID,Product_Name,Category,Base_Price,Discount_%,Selling_Price,Competitor_Price,Units_Sold,Revenue,Region,Customer_Segment,Stock_Level,Cost,Gross_Profit_per_unit,Gross_Profit_Total,Margin_%,Price_Delta_vs_Competitor,Price_Elasticity_Score,Month,Month_Number,Year,MonthYear
2023-09-14,P100,Wireless Headphones,Electronics,268.64,30,188.05,187.39,1.0,188.05,West,Retail,146,185.91,2.14,2.14,1.14,0.66,0.0117,Sep,9,2023,Sep 2023
2024-01-25,P101,Car Battery,Automotive,186.51,0,186.51,189.25,7.0,1305.57,North,Retail,154,110.45,76.06,532.42,40.78,-2.74,0.0112,Jan,1,2024,Jan 2024
2024-03-19,P100,Wireless Headphones,Electronics,306.26,0,306.26,287.24,2.0,612.52,West,Retail,94,195.79,110.47,220.94,36.07,19.02,0.0117,Mar,3,2024,Mar 2024
2024-02-05,P102,Organic Rice,Grocery,32.97,15,28.02,29.19,2.0,56.04,East,Retail,244,23.11,4.91,9.82,17.52,-1.17,0.0121,Feb,2,2024,Feb 2024
2023-05-13,P102,Organic Rice,Grocery,96.95,20,77.56,75.56,3.0,232.68,North,Retail,237,63.14,14.42,43.26,18.59,2.0,0.0121,May,5,2023,May 2023
2024-08-04,P104,Bluetooth Speaker,Electronics,124.78,15,106.06,115.55,2.0,212.12,East,Retail,204,90.52,15.54,31.08,14.65,-9.49,0.0206,Aug,8,2024,Aug 2024
2023-04-04,P101,Car Battery,Automotive,142.86,30,100.0,102.66,3.0,300.0,South,Retail,211,85.84,14.16,42.48,14.16,-2.66,0.0112,Apr,4,2023,Apr 2023
2024-12-05,P104,Bluetooth Speaker,Electronics,154.87,25,116.15,122.77,1.0,116.15,West,Retail,113,102.86,13.29,13.29,11.44,-6.62,0.0206,Dec,12,2024,Dec 2024
2024-04-07,P104,Bluetooth Speaker,Electronics,162.02,10,145.82,146.52,3.0,437.46,West,Retail,227,89.53,56.29,168.87,38.6,-0.7,0.0206,Apr,4,2024,Apr 2024
2023-05-12,P105,Brake Pads,Automotive,170.01,5,161.51,173.45,6.0,969.06,South,Retail,81,108.07,53.44,320.64,33.09,-11.94,0.0115,May,5,2023,May 2023
2024-12-25,P106,Olive Oil,Grocery,99.29,25,74.47,75.01,4.0,297.88,West,Wholesale,255,68.86,5.61,22.44,7.53,-0.54,0.0111,Dec,12,2024,Dec 2024
2023-06-02,P106,Olive Oil,Grocery,248.94,20,199.15,224.07,6.0,1194.9,North,Retail,199,156.3,42.85,257.1,21.52,-24.92,0.0111,Jun,6,2023,Jun 2023
2023-12-04,P103,T-Shirt,Apparel,178.44,5,169.52,189.46,6.0,1017.12,South,Retail,219,118.36,51.16,306.96,30.18,-19.94,0.003,Dec,12,2023,Dec 2023
2023-05-24,P101,Car Battery,Automotive,167.48,10,150.73,150.17,2.0,301.46,East,Retail,241,93.79,56.94,113.88,37.78,0.56,0.0112,May,5,2023,May 2023
2023-01-25,P100,Wireless Headphones,Electronics,258.42,0,258.42,234.09,2.0,516.84,North,Retail,185,159.7,98.72,197.44,38.2,24.33,0.0117,Jan,1,2023,Jan 2023
2024-11-16,P106,Olive Oil,Grocery,30.13,15,25.61,28.36,2.0,51.22,East,Wholesale,177,20.63,4.98,9.96,19.45,-2.75,0.0111,Nov,11,2024,Nov 2024
2023-05-27,P100,Wireless Headphones,Electronics,231.55,0,231.55,262.34,1.0,231.55,North,Retail,267,172.6,58.95,58.95,25.46,-30.79,0.0117,May,5,2023,May 2023
2024-05-16,P103,T-Shirt,Apparel,227.59,15,193.45,195.99,2.0,386.9,North,Retail,245,139.48,53.97,107.94,27.9,-2.54,0.003,May,5,2024,May 2024
2024-07-22,P102,Organic Rice,Grocery,166.6,5,158.27,180.33,3.0,474.81,East,Retail,231,119.85,38.42,115.26,24.27,-22.06,0.0121,Jul,7,2024,Jul 2024
2024-11-16,P100,Wireless Headphones,Electronics,207.11,30,144.98,158.04,6.0,869.88,North,Retail,205,135.92,9.06,54.36,6.25,-13.06,0.0117,Nov,11,2024,Nov 2024
2023-01-28,P100,Wireless Headphones,Electronics,155.13,15,131.86,149.36,1.0,131.86,North,Wholesale,26,111.55,20.31,20.31,15.4,-17.5,0.0117,Jan,1,2023,Jan 2023
2023-12-17,P106,Olive Oil,Grocery,109.44,30,76.61,84.51,5.0,383.05,East,Retail,46,81.92,-5.31,-26.55,-6.93,-7.9,0.0111,Dec,12,2023,Dec 2023
2024-06-10,P101,Car Battery,Automotive,216.73,25,162.55,151.56,7.0,1137.85,North,Retail,126,155.22,7.33,51.31,4.51,10.99,0.0112,Jun,6,2024,Jun 2024
2024-12-27,P101,Car Battery,Automotive,165.73,20,132.58,122.23,5.0,662.9,North,Retail,197,106.89,25.69,128.45,19.38,10.35,0.0112,Dec,12,2024,Dec 2024
2024-01-19,P100,Wireless Headphones,Electronics,179.18,25,134.38,133.47,2.0,268.76,South,Retail,116,116.58,17.8,35.6,13.25,0.91,0.0117,Jan,1,2024,Jan 2024
2024-02-25,P101,Car Battery,Automotive,274.78,10,247.3,269.54,3.0,741.9,North,Retail,143,173.69,73.61,220.83,29.77,-22.24,0.0112,Feb,2,2024,Feb 2024
2024-01-02,P102,Organic Rice,Grocery,52.05,10,46.84,46.22,3.0,140.52,East,Retail,313,33.66,13.18,39.54,28.14,0.62,0.0121,Jan,1,2024,Jan 2024
2023-02-17,P101,Car Battery,Automotive,124.33,10,111.9,113.67,2.0,223.8,South,Retail,367,92.15,19.75,39.5,17.65,-1.77,0.0112,Feb,2,2023,Feb 2023
2024-04-07,P103,T-Shirt,Apparel,197.43,10,177.69,184.14,1.0,177.69,North,Retail,290,126.04,51.65,51.65,29.07,-6.45,0.003,Apr,4,2024,Apr 2024
2023-07-22,P103,T-Shirt,Apparel,279.67,10,251.7,272.9,6.0,1510.2,South,Wholesale,343,192.77,58.93,353.58,23.41,-21.2,0.003,Jul,7,2023,Jul 2023
2024-03-28,P102,Organic Rice,Grocery,42.9,20,34.32,35.71,6.0,205.92,South,Retail,228,25.29,9.03,54.18,26.31,-1.39,0.0121,Mar,3,2024,Mar 2024
2024-02-15,P102,Organic Rice,Grocery,121.37,20,97.1,88.92,4.0,388.4,South,Retail,289,72.86,24.24,96.96,24.96,8.18,0.0121,Feb,2,2024,Feb 2024
2024-08-15,P105,Brake Pads,Automotive,187.38,15,159.27,153.59,2.0,318.54,East,Retail,267,109.16,50.11,100.22,31.46,5.68,0.0115,Aug,8,2024,Aug 2024
2024-09-25,P105,Brake Pads,Automotive,192.59,15,163.7,170.97,3.0,491.1,North,Retail,205,112.08,51.62,154.86,31.53,-7.27,0.0115,Sep,9,2024,Sep 2024
2023-10-09,P100,Wireless Headphones,Electronics,206.77,30,144.74,162.67,2.0,289.48,South,Wholesale,64,113.77,30.97,61.94,21.4,-17.93,0.0117,Oct,10,2023,Oct 2023
2024-05-20,P107,Jeans,Apparel,184.21,10,165.79,182.08,5.0,663.16,East,Wholesale,198,105.84,59.95,299.75,36.16,-16.29,0.0022,May,5,2024,May 2024
2023-05-29,P101,Car Battery,Automotive,201.9,10,181.71,183.09,3.0,545.13,South,Retail,195,149.67,32.04,96.12,17.63,-1.38,0.0112,May,5,2023,May 2023
2024-05-23,P102,Organic Rice,Grocery,148.77,5,141.33,156.01,5.0,706.65,East,Retail,139,94.44,46.89,234.45,33.18,-14.68,0.0121,May,5,2024,May 2024
2024-09-20,P105,Brake Pads,Automotive,176.22,30,123.35,118.76,3.0,370.05,South,Wholesale,235,129.96,-6.61,-19.83,-5.36,4.59,0.0115,Sep,9,2024,Sep 2024
2023-10-12,P102,Organic Rice,Grocery,153.77,5,146.08,151.57,2.0,292.16,East,Wholesale,183,99.8,46.28,92.56,31.68,-5.49,0.0121,Oct,10,2023,Oct 2023
2023-01-11,P100,Wireless Headphones,Electronics,204.16,5,193.95,202.35,1.0,193.95,East,Retail,223,153.03,40.92,40.92,21.1,-8.4,0.0117,Jan,1,2023,Jan 2023
2023-03-24,P100,Wireless Headphones,Electronics,215.35,15,183.05,191.97,1.0,183.05,West,Retail,248,121.76,61.29,61.29,33.48,-8.92,0.0117,Mar,3,2023,Mar 2023
2024-04-28,P107,Jeans,Apparel,256.24,20,204.99,231.19,5.0,1024.95,West,Retail,185,186.13,18.86,94.3,9.2,-26.2,0.0022,Apr,4,2024,Apr 2024
2024-02-15,P105,Brake Pads,Automotive,211.85,5,201.26,191.19,4.0,805.04,West,Retail,111,148.81,52.45,209.8,26.06,10.07,0.0115,Feb,2,2024,Feb 2024
2023-06-27,P104,Bluetooth Speaker,Electronics,251.87,15,214.09,225.94,1.0,214.09,West,Wholesale,304,148.02,66.07,66.07,30.86,-11.85,0.0206,Jun,6,2023,Jun 2023
2024-06-23,P100,Wireless Headphones,Electronics,157.22,20,125.78,131.1,1.0,125.78,North,Retail,0,101.31,24.47,24.47,19.45,-5.32,0.0117,Jun,6,2024,Jun 2024
2023-10-15,P103,T-Shirt,Apparel,213.58,0,213.58,232.06,2.0,427.16,North,Retail,0,152.39,61.19,122.38,28.65,-18.48,0.003,Oct,10,2023,Oct 2023
2023-12-28,P105,Brake Pads,Automotive,140.09,15,119.08,131.22,3.0,357.24,West,Retail,240,86.37,32.71,98.13,27.47,-12.14,0.0115,Dec,12,2023,Dec 2023
2023-05-28,P107,Jeans,Apparel,281.97,10,253.77,259.26,5.0,1268.85,East,Wholesale,242,181.02,72.75,363.75,28.67,-5.49,0.0022,May,5,2023,May 2023
2023-06-02,P104,Bluetooth Speaker,Electronics,175.07,25,131.3,128.78,1.0,131.3,South,Retail,320,118.98,12.32,12.32,9.38,2.52,0.0206,Jun,6,2023,Jun 2023
2024-08-05,P107,Jeans,Apparel,154.76,10,139.28,133.32,8.0,1114.24,North,Wholesale,278,94.25,45.03,360.24,32.33,5.96,0.0022,Aug,8,2024,Aug 2024
2023-09-11,P105,Brake Pads,Automotive,250.4,15,212.84,232.43,6.0,1277.04,West,Retail,358,163.61,49.23,295.38,23.13,-19.59,0.0115,Sep,9,2023,Sep 2023
2023-06-21,P104,Bluetooth Speaker,Electronics,232.72,10,209.45,226.31,1.0,209.45,South,Retail,2,137.8,71.65,71.65,34.21,-16.86,0.0206,Jun,6,2023,Jun 2023
